Nombre,Apellidos,Numero_Identificacion,Fecha de Nacimiento,Fecha de Jubilación,Bases de Cotización,Años Cotizados,Comunidad Autónoma,Invalidez
Michael,Bowers,5e664f5664dabbcb3c72f6a0bc7770a9771ce53f2d6afdde3f74f62fefe7d932,1952-08-24,2023-01-17,582161.07,35 años 4 meses,Cantabria,True
Martha,Bass,b009fe4f6eaa3cc7cba81e310be73e27127265b781a3b3b1f81d25905bb87c13,1947-12-07,2023-12-03,614729.93,29 años 6 meses,La Rioja,True
Steven,Malone,a95788a7964da6a63e3cbb1729d321cbe7d50fd72f7972efc298d7829045559f,1957-11-29,2023-01-12,610295.64,42 años 9 meses,Madrid,False
Tracy,Oliver,424a70e35540df206e406f18fb3ed8449b90fab35c49410caa1bb08370660da5,1952-01-24,2023-05-02,609355.99,25 años 5 meses,Aragón,True
Steven,Reed,5ea861b9d7897321a0357b29fd2f5ae8e7b52b52f83028d12e265d23880ce3e7,1952-09-26,2023-03-11,592729.49,36 años 4 meses,Castilla y León,True
Tonya,Weaver,2d8005dfa12e57dbfa76f8d70f813d41eca0edee7b645316fc78536207f2f83c,1955-04-13,2023-09-14,491994.24,18 años 4 meses,Galicia,False
Carmen,Bailey,fca4ba6b3c6b3d65e29181088b12e2af65d569e09e4c9136781ee690b3823446,1951-05-30,2023-04-07,442683.69,15 años 2 meses,Cantabria,True
Sarah,Roth,789f83d635eb45e0ed92cbc77e514b718e1b20c30c4c9a06b722d93c26ef91da,1955-06-24,2023-09-01,425861.44,15 años 5 meses,Navarra,False
Teresa,Richmond,40a889d2d857933e6535c90278d4ad18e32cdf5d5836be2b04fc41821ec79d3e,1958-06-17,2023-06-18,599885.37,39 años 11 meses,Aragón,False
Haley,Thomas,3b2368d7d52a1edca633a128dbcf41ea88bec5f5a86c31f8450abd2af6db5942,1958-03-21,2023-08-01,604980.41,43 años 11 meses,Asturias,False
Crystal,Collins,74c5cc406976ce8ab09426f6d5d3f40a26cf185885fcb180223bd94a86797eea,1958-07-02,2023-07-26,592655.96,39 años 5 meses,Galicia,True
Christy,Holloway,c10ff9b266feee5480cf3f575b8fe467c1e0a7ca2e4a9ad45a875de89b98f074,1951-09-16,2023-02-04,605624.4,27 años 6 meses,Comunidad Valenciana,True
Dwayne,Watson,2b90a4bd208b473ceed6f4d29eca334c1f3814c132701a3cd89c5738d5075c99,1958-01-10,2023-07-19,587234.62,43 años 4 meses,Comunidad Valenciana,False
Carol,Schneider,23f58eb0b79620cbde15fae4d91bdbebd437cf986c576c1d8e83e8763afc167f,1958-07-29,2023-01-23,605626.62,43 años 2 meses,Murcia,False
Leslie,Hudson,2a854bd07a9e10d97970619018e6d05c1746f6650ae76d6e828593dc06766a79,1953-03-25,2023-08-15,617020.47,36 años 7 meses,Cantabria,False
Brandon,Erickson,7a95b214b866c37b5f26081c0ebfc38b1529413c3fa57c65bb40a1dcd5ba131a,1956-03-01,2023-06-24,440773.29,15 años 1 meses,Galicia,False
Ashlee,Morales,e8702b07bcfe85be88c0dbea6f9c8d4b93271fb0cc2726bc46c0aae31641561d,1956-01-11,2023-04-22,489311.17,17 años 3 meses,Cataluña,True
